condition,seed,epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,42,1,0.45695329065322876,0.79588,0.3691552281951904,0.84068
1,42,2,0.3584404345989227,0.8454,0.3489943168735504,0.85004
1,42,3,0.3473185060501099,0.85064,0.3411308322811127,0.85452
1,42,4,0.34171152665138244,0.85264,0.351031937007904,0.84876
1,42,5,0.336211525387764,0.85656,0.33857705039978025,0.85668
1,42,6,0.3339526505088806,0.85696,0.333814691991806,0.85692
1,42,7,0.328991441655159,0.85916,0.33108145104408265,0.8596
1,42,8,0.32837727025032043,0.86104,0.33234986684799195,0.85828
1,42,9,0.3263777614402771,0.861,0.3433881858968735,0.8498
1,42,10,0.32436826393127444,0.85992,0.3283842773246765,0.86056
1,42,11,0.3234302997303009,0.8628,0.32610786528587343,0.86124
1,42,12,0.3220653211545944,0.86204,0.327087463555336,0.86032
1,42,13,0.3191016537189484,0.86204,0.3252232116651535,0.86208
1,42,14,0.3176162625694275,0.8638,0.32694263603687285,0.86056
1,42,15,0.31656653025627135,0.86508,0.3243172421169281,0.86204
1,42,16,0.3145491798734665,0.86524,0.3262388557386398,0.8602
1,42,17,0.31150474264144895,0.86656,0.33092771438598634,0.8568
1,42,18,0.31172243783950804,0.86652,0.38707733164310454,0.82008
1,42,19,0.3110286887359619,0.868,0.327176912484169,0.85976
1,42,20,0.30796967570304873,0.8684,0.3237154111099243,0.86212
1,42,21,0.30480919967651365,0.87096,0.32664080605506896,0.86016
1,42,22,0.3058530751800537,0.8704,0.3238342363166809,0.86172
1,42,23,0.30272295724868775,0.87124,0.3216566245651245,0.86336
1,42,24,0.30206692836761473,0.87084,0.3531719862794876,0.84552
1,42,25,0.3002040246677399,0.87224,0.3259051603460312,0.86088
1,42,26,0.2972776816654205,0.874,0.32538072320461275,0.86196
1,42,27,0.2966819194507599,0.87356,0.32070327587604525,0.86272
1,42,28,0.29290544244766237,0.87528,0.3317127793550491,0.85868
1,42,29,0.2937907294750214,0.87728,0.3220868335676193,0.8642
1,42,30,0.29135364513397216,0.8788,0.3293593364429474,0.86128
1,42,31,0.29065056505203246,0.87972,0.3214495869064331,0.8624
1,42,32,0.2879914480876923,0.87816,0.33921788865089414,0.85416
1,42,33,0.2859433345603943,0.88148,0.32635048431396485,0.86128
1,42,34,0.2837988436031342,0.88192,0.3256752333641052,0.86116
1,42,35,0.28406790410995486,0.8818,0.32412407727241516,0.86188
1,42,36,0.2825447292280197,0.881,0.3297366103363037,0.86076
1,42,37,0.2816662112903595,0.8816,0.32931667182922364,0.86116
1,42,38,0.2762930432987213,0.88404,0.32692307816028593,0.86196
1,42,39,0.27587263879776003,0.88584,0.3322161538028717,0.85928
1,42,40,0.27389652672290804,0.88628,0.33697897164344787,0.857
1,42,41,0.27252495014190675,0.88896,0.32781841081142427,0.86136
